date_id,year,month,quarter,season
0,2001,1,1,WIN
1,2001,2,1,WIN
2,2001,3,1,SPR
3,2001,4,2,SPR
4,2001,5,2,SPR
5,2001,6,2,SUM
6,2001,7,3,SUM
7,2001,8,3,SUM
8,2001,9,3,AUT
9,2001,10,4,AUT
10,2001,11,4,AUT
11,2001,12,4,WIN
12,2002,1,1,WIN
13,2002,2,1,WIN
14,2002,3,1,SPR
15,2002,4,2,SPR
16,2002,5,2,SPR
17,2002,6,2,SUM
18,2002,7,3,SUM
19,2002,8,3,SUM
20,2002,9,3,AUT
21,2002,10,4,AUT
22,2002,11,4,AUT
23,2002,12,4,WIN
24,2003,1,1,WIN
25,2003,2,1,WIN
26,2003,3,1,SPR
27,2003,4,2,SPR
28,2003,5,2,SPR
29,2003,6,2,SUM
30,2003,7,3,SUM
31,2003,8,3,SUM
32,2003,9,3,AUT
33,2003,10,4,AUT
34,2003,11,4,AUT
35,2003,12,4,WIN
36,2004,1,1,WIN
37,2004,2,1,WIN
38,2004,3,1,SPR
39,2004,4,2,SPR
40,2004,5,2,SPR
41,2004,6,2,SUM
42,2004,7,3,SUM
43,2004,8,3,SUM
44,2004,9,3,AUT
45,2004,10,4,AUT
46,2004,11,4,AUT
47,2004,12,4,WIN
48,2005,1,1,WIN
49,2005,2,1,WIN
50,2005,3,1,SPR
51,2005,4,2,SPR
52,2005,5,2,SPR
53,2005,6,2,SUM
54,2005,7,3,SUM
55,2005,8,3,SUM
56,2005,9,3,AUT
57,2005,10,4,AUT
58,2005,11,4,AUT
59,2005,12,4,WIN
60,2006,1,1,WIN
61,2006,2,1,WIN
62,2006,3,1,SPR
63,2006,4,2,SPR
64,2006,5,2,SPR
65,2006,6,2,SUM
66,2006,7,3,SUM
67,2006,8,3,SUM
68,2006,9,3,AUT
69,2006,10,4,AUT
70,2006,11,4,AUT
71,2006,12,4,WIN
72,2007,1,1,WIN
73,2007,2,1,WIN
74,2007,3,1,SPR
75,2007,4,2,SPR
76,2007,5,2,SPR
77,2007,6,2,SUM
78,2007,7,3,SUM
79,2007,8,3,SUM
80,2007,9,3,AUT
81,2007,10,4,AUT
82,2007,11,4,AUT
83,2007,12,4,WIN
84,2008,1,1,WIN
85,2008,2,1,WIN
86,2008,3,1,SPR
87,2008,4,2,SPR
88,2008,5,2,SPR
89,2008,6,2,SUM
90,2008,7,3,SUM
91,2008,8,3,SUM
92,2008,9,3,AUT
93,2008,10,4,AUT
94,2008,11,4,AUT
95,2008,12,4,WIN
96,2009,1,1,WIN
97,2009,2,1,WIN
98,2009,3,1,SPR
99,2009,4,2,SPR
100,2009,5,2,SPR
101,2009,6,2,SUM
102,2009,7,3,SUM
103,2009,8,3,SUM
104,2009,9,3,AUT
105,2009,10,4,AUT
106,2009,11,4,AUT
107,2009,12,4,WIN
108,2010,1,1,WIN
109,2010,2,1,WIN
110,2010,3,1,SPR
111,2010,4,2,SPR
112,2010,5,2,SPR
113,2010,6,2,SUM
114,2010,7,3,SUM
115,2010,8,3,SUM
116,2010,9,3,AUT
117,2010,10,4,AUT
118,2010,11,4,AUT
119,2010,12,4,WIN
120,2011,1,1,WIN
121,2011,2,1,WIN
122,2011,3,1,SPR
123,2011,4,2,SPR
124,2011,5,2,SPR
125,2011,6,2,SUM
126,2011,7,3,SUM
127,2011,8,3,SUM
128,2011,9,3,AUT
129,2011,10,4,AUT
130,2011,11,4,AUT
131,2011,12,4,WIN
132,2012,1,1,WIN
133,2012,2,1,WIN
134,2012,3,1,SPR
135,2012,4,2,SPR
136,2012,5,2,SPR
137,2012,6,2,SUM
138,2012,7,3,SUM
139,2012,8,3,SUM
140,2012,9,3,AUT
141,2012,10,4,AUT
142,2012,11,4,AUT
143,2012,12,4,WIN
144,2013,1,1,WIN
145,2013,2,1,WIN
146,2013,3,1,SPR
147,2013,4,2,SPR
148,2013,5,2,SPR
149,2013,6,2,SUM
150,2013,7,3,SUM
151,2013,8,3,SUM
152,2013,9,3,AUT
153,2013,10,4,AUT
154,2013,11,4,AUT
155,2013,12,4,WIN
156,2014,1,1,WIN
157,2014,2,1,WIN
158,2014,3,1,SPR
159,2014,4,2,SPR
160,2014,5,2,SPR
161,2014,6,2,SUM
162,2014,7,3,SUM
163,2014,8,3,SUM
164,2014,9,3,AUT
165,2014,10,4,AUT
166,2014,11,4,AUT
167,2014,12,4,WIN
168,2015,1,1,WIN
169,2015,2,1,WIN
170,2015,3,1,SPR
171,2015,4,2,SPR
172,2015,5,2,SPR
173,2015,6,2,SUM
174,2015,7,3,SUM
175,2015,8,3,SUM
176,2015,9,3,AUT
177,2015,10,4,AUT
178,2015,11,4,AUT
179,2015,12,4,WIN
180,2016,1,1,WIN
181,2016,2,1,WIN
182,2016,3,1,SPR
183,2016,4,2,SPR
184,2016,5,2,SPR
185,2016,6,2,SUM
186,2016,7,3,SUM
187,2016,8,3,SUM
188,2016,9,3,AUT
189,2016,10,4,AUT
190,2016,11,4,AUT
191,2016,12,4,WIN
192,2017,1,1,WIN
193,2017,2,1,WIN
194,2017,3,1,SPR
195,2017,4,2,SPR
196,2017,5,2,SPR
197,2017,6,2,SUM
198,2017,7,3,SUM
199,2017,8,3,SUM
200,2017,9,3,AUT
201,2017,10,4,AUT
202,2017,11,4,AUT
203,2017,12,4,WIN
204,2018,1,1,WIN
205,2018,2,1,WIN
206,2018,3,1,SPR
207,2018,4,2,SPR
208,2018,5,2,SPR
209,2018,6,2,SUM
210,2018,7,3,SUM
211,2018,8,3,SUM
212,2018,9,3,AUT
213,2018,10,4,AUT
214,2018,11,4,AUT
215,2018,12,4,WIN
216,2019,1,1,WIN
217,2019,2,1,WIN
218,2019,3,1,SPR
219,2019,4,2,SPR
220,2019,5,2,SPR
221,2019,6,2,SUM
222,2019,7,3,SUM
223,2019,8,3,SUM
224,2019,9,3,AUT
225,2019,10,4,AUT
226,2019,11,4,AUT
227,2019,12,4,WIN
228,2020,1,1,WIN
229,2020,2,1,WIN
230,2020,3,1,SPR
231,2020,4,2,SPR
232,2020,5,2,SPR
233,2020,6,2,SUM
234,2020,7,3,SUM
235,2020,8,3,SUM
236,2020,9,3,AUT