"Series Key",ELEC.SALES.US-RES.M,"Series Key",ELEC.SALES.US-COM.M,"Series Key",ELEC.SALES.US-IND.M
"Series Name","Retail sales of electricity : United States : residential : monthly","Series Name","Retail sales of electricity : United States : commercial : monthly","Series Name","Retail sales of electricity : United States : industrial : monthly"
Units,"million kilowatthours",Units,"million kilowatthours",Units,"million kilowatthours"
Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

202009,127583.66965,202009,112213.76361,202009,77504.78094
202008,158821.41757,202008,122024.58524,202008,82582.31949
202007,166890.82666,202007,125994.21203,202007,81276.25286
202006,131242.46216,202006,108695.0422,202006,75210.98956
202005,105411.88446,202005,93405.71294,202005,71219.94475
202004,97464.57724,202004,90631.15901,202004,69590.77096
202003,104006.3208,202003,102936.85644,202003,77564.65112
202002,111931.38861,202002,101904.75773,202002,75650.08455
202001,124414.14153,202001,108856.99417,202001,77425.60211
201912,121078.07664,201912,108001.47569,201912,80094.7451
201911,102452.92208,201911,102840.01355,201911,79624.66409
201910,107997.2082,201910,115304.90269,201910,84396.13735
201909,131566.72667,201909,122059.1507,201909,86160.37695
201908,150083.05574,201908,130776.1738,201908,91061.84215
201907,153748.88906,201907,130951.45258,201907,90752.18668
201906,120116.16993,201906,115745.02702,201906,84991.9946
201905,100331.07128,201905,111200.9527,201905,84661.29301
201904,90383.8218,201904,102445.9396,201904,80459.75842
201903,112605.41506,201903,107468.19984,201903,81092.831
201902,116608.00237,201902,102070.87863,201902,76447.26277
201901,133317.55017,201901,112012.38825,201901,82609.75692
201812,123180.40374,201812,107998.08271,201812,80306.13626
201811,103789.9565,201811,104983.1121,201811,81118.3574
201810,107048.75285,201810,116133.34132,201810,85300.74348
201809,128909.79255,201809,122033.47842,201809,85678.99407
201808,153496.49426,201808,134848.07012,201808,92105.75136
201807,153566.05021,201807,131521.57202,201807,89301.35668
201806,129912.8992,201806,122011.1754,201806,85536.24101
201805,103847.99899,201805,113175.48258,201805,85637.64704
201804,95453.61577,201804,103331.47962,201804,79083.41885
201803,107218.43099,201803,108108.34274,201803,81052.92676
201802,113751.28019,201802,102685.44876,201802,75661.18887
201801,148917.3837,201801,114925.25918,201801,79889.79117
201712,122004.61658,201712,109305.5211,201712,80241.80912
201711,98320.56549,201711,104973.10002,201711,79455.59181
201710,102811.04302,201710,113287.1917,201710,82815.13063
201709,118778.78233,201709,118788.75907,201709,83540.14022
201708,142007.16653,201708,128481.00787,201708,89134.44287
201707,149900.48178,201707,129276.62303,201707,87806.13189
201706,122543.16906,201706,120013.1553,201706,85398.53829
201705,98281.15882,201705,109872.0998,201705,83134.47026
201704,90724.50386,201704,102589.04963,201704,78898.55775
201703,103095.52026,201703,107172.86432,201703,80530.22476
201702,100968.2357,201702,99639.93551,201702,74533.79401
201701,129212.49867,201701,109488.38655,201701,78809.11338
201612,121280.85551,201612,110172.08074,201612,78616.33246
201611,93244.09126,201611,105059.86751,201611,78421.43195
201610,101507.96582,201610,112962.81663,201610,81597.27214
201609,129362.93162,201609,123492.82377,201609,83259.30744
201608,156441.5236,201608,135018.84084,201608,89100.53838
201607,154409.32698,201607,130038.31813,201607,87076.3985
201606,125211.23945,201606,120363.27304,201606,83672.03383
201605,94198.0297,201605,108436.89218,201605,81491.45601
201604,88244.34036,201604,102045.12866,201604,78646.72682
201603,100226.57541,201603,105739.17841,201603,79237.36127
201602,115959.425,201602,103451.68958,201602,76748.45904
201601,130971.84829,201601,110410.4764,201601,78847.86312
201512,111670.43689,201512,106829.42741,201512,78224.38108
201511,92677.74922,201511,104140.23952,201511,78494.66844
201510,99349.04737,201510,112821.48753,201510,83248.83116
201509,125416.66628,201509,122195.40637,201509,84730.4842
201508,144515.14459,201508,128518.92244,201508,88373.07421
201507,146038.29057,201507,128504.25329,201507,87747.34656
201506,120299.75351,201506,119270.12121,201506,86217.70376
201505,95160.53288,201505,109405.65371,201505,82915.73893
201504,90199.18738,201504,104167.79782,201504,80488.63267
201503,117167.11068,201503,107796.08358,201503,79709.106
201502,123837.72058,201502,105482.47635,201502,76748.76531
201501,137764.85879,201501,111619.65742,201501,79608.99964
201412,120800.62015,201412,108070.2444,201412,80122.51809
201411,99485.77105,201411,104245.46931,201411,81044.19637
201410,98037.68189,201410,113023.10289,201410,84994.16687
201409,120741.34746,201409,120048.81267,201409,85489.15774
201408,135829.7966,201408,125603.00367,201408,89808.40816
201407,137027.96944,201407,125434.14702,201407,88417.10031
201406,118049.03675,201406,118422.5304,201406,85711.096
201405,95726.76781,201405,109665.54886,201405,85382.98728
201404,92289.71503,201404,102458.94982,201404,80505.32655
201403,114232.80446,201403,106967.88672,201403,80539.0692
201402,128475.35803,201402,104352.64247,201402,75413.26442
201401,146511.44233,201401,113865.92486,201401,80148.84693
201312,128966.06076,201312,108762.40498,201312,78067.10006
201311,97904.01594,201311,103384.47877,201311,79631.57395
201310,98893.01479,201310,111906.62154,201310,82979.76639
201309,121419.21582,201309,118407.72153,201309,83024.99127
201308,138065.06955,201308,127063.27433,201308,87806.36831
201307,143854.74884,201307,127310.57593,201307,86886.90809
201306,117982.10632,201306,117410.41288,201306,84169.85683
201305,95191.59812,201305,108682.60602,201305,84896.9274
201304,95540.85075,201304,101394.9418,201304,80216.47132
201303,112096.72548,201303,104011.35848,201303,80474.38927
201302,113113.88543,201302,101015.6343,201302,76692.04883
201301,131784.83713,201301,107728.74656,201301,80505.47227
201212,114187.60211,201212,104122.34865,201212,78359.60426
201211,97155.23195,201211,101640.73826,201211,78847.34019
201210,96669.43338,201210,110471.00997,201210,82995.68967
201209,118831.34204,201209,116584.97051,201209,82059.90033
201208,147941.04266,201208,128106.4177,201208,88104.63253
201207,154579.07102,201207,128535.30752,201207,87219.18043
201206,122934.13138,201206,118009.39147,201206,83619.0094
201205,100895.11737,201205,110800.44713,201205,84677.64946
201204,88103.20953,201204,101036.70763,201204,81029.67494
201203,99361.68572,201203,102474.42295,201203,81298.24301
201202,107975.35744,201202,100080.12366,201202,78298.27379
201201,125881.48337,201201,105239.31021,201201,79204.65598
201112,116341.02312,201112,104866.07866,201112,79981.58371
201111,93220.49602,201111,100552.41991,201111,80872.4358
201110,94585.12049,201110,108649.56376,201110,84281.7274
201109,122719.49868,201109,117951.31165,201109,84942.79578
201108,153738.7326,201108,129368.47817,201108,88987.35194
201107,154728.9198,201107,128065.43317,201107,87247.10363
201106,125982.78519,201106,118170.17391,201106,83911.56382
201105,97689.09798,201105,107624.53459,201105,82060.54846
201104,93701.63929,201104,100506.21559,201104,80367.2619
201103,104922.12296,201103,104257.05814,201103,82209.08469
201102,120109.96908,201102,99795.53835,201102,76361.23172
201101,145061.68779,201101,108250.63314,201101,80092.87514
201012,130013.88415,201012,108026.30702,201012,80313.27654
201011,93166.13873,201011,101518.93623,201011,79613.8808
201010,96688.03347,201010,108460.80315,201010,82080.65341
201009,124582.73197,201009,119136.72305,201009,83389.71461
201008,154053.43099,201008,129166.3266,201008,87927.06843
201007,154688.71374,201007,127923.96458,201007,85743.80969
201006,127495.96897,201006,119384.99993,201006,83359.7068
201005,94843.00591,201005,106172.1027,201005,82113.9719
201004,88046.43494,201004,99790.36122,201004,78620.38762
201003,111789.98549,201003,101751.35586,201003,78319.08909
201002,122840.19897,201002,100746.97804,201002,74190.72741
201001,147499.8756,201001,108120.50557,201001,75548.90308
200912,124013.23123,200912,108477.64119,200912,77114.70448
200911,93027.97812,200911,98901.26048,200911,75638.71671
200910,98552.02288,200910,108513.64705,200910,79450.79424
200909,115163.38169,200909,114900.22901,200909,79863.39097
200908,138222.67826,200908,123776.73329,200908,82199.24951
200907,137497.95889,200907,121323.02953,200907,78390.88288
200906,114395.18493,200906,114832.07907,200906,75680.59193
200905,94312.17694,200905,105211.81067,200905,75150.83707
200904,91631.16242,200904,99804.15979,200904,73415.09341
200903,106501.36115,200903,102458.09406,200903,74171.16102
200902,115212.23344,200902,99010.67533,200902,71358.00943
200901,136228.78303,200901,109643.16445,200901,74983.03633
200812,125195.49051,200812,107185.88253,200812,75868.67965
200811,95766.49248,200811,102414.68843,200811,79538.65519
200810,96110.5902,200810,110849.71329,200810,84164.27206
200809,117078.13536,200809,118288.84717,200809,85910.35521
200808,138459.9164,200808,124195.6496,200808,88551.91025
200807,143179.15198,200807,128072.03466,200807,88526.8087
200806,121375.87566,200806,119372.96065,200806,87223.7717
200805,92245.62751,200805,107473.48707,200805,87963.07225
200804,92165.89406,200804,101487.44971,200804,83695.60892
200803,107162.48294,200803,103334.63273,200803,83497.98014
200802,118553.64589,200802,104396.86107,200802,81484.31279
200801,133368.44196,200801,109061.27815,200801,83090.75123
200712,117407.95458,200712,105908.55314,200712,83724.55026
200711,95904.83059,200711,104603.26135,200711,85118.05351
200710,103753.92219,200710,114481.20828,200710,88895.8681
200709,129512.02449,200709,119898.38511,200709,87427.61386
200708,150101.49426,200708,130474.68013,200708,92115.23385
200707,139027.02976,200707,123923.08608,200707,89017.33579
200706,117417.59514,200706,117351.90897,200706,87572.06503
200705,96388.85378,200705,108558.89122,200705,87241.06727
200704,90282.04653,200704,101051.20537,200704,83361.38391
200703,105694.7597,200703,102640.14808,200703,82582.47097
200702,121464.24918,200702,100756.42866,200702,78391.79387
200701,125286.23581,200701,106667.43962,200701,82384.48859
200612,114881.59882,200612,104672.98538,200612,79937.19578
200611,94842.85118,200611,101103.66444,200611,80653.08159
200610,96246.21398,200610,109000.01878,200610,85337.48571
200609,116072.16359,200609,114230.57436,200609,86364.06714
200608,150064.42521,200608,127654.72298,200608,90284.79348
200607,147338.32912,200607,125541.18393,200607,88879.95233
200606,118815.30772,200606,115785.42304,200606,86629.84604
200605,93999.95079,200605,106441.98201,200605,86178.93082
200604,89374.09543,200604,96551.16055,200604,81696.37621
200603,104955.19201,200603,101115.44679,200603,83264.00534
200602,104511.06304,200602,95713.18742,200602,80207.18278
200601,120418.84511,200601,101933.34533,200601,81864.64879
200512,120177.22149,200512,103531.01217,200512,82974.33146
200511,91686.57128,200511,98799.24861,200511,83512.20261
200510,102685.87866,200510,108474.38377,200510,85856.05478
200509,126515.63542,200509,116516.874,200509,87256.04557
200508,146904.77969,200508,124436.15518,200508,90535.92761
200507,144476.33645,200507,122037.03201,200507,88385.72227
200506,116627.43754,200506,114100.72922,200506,88032.96775
200505,87384.11153,200505,99701.62451,200505,85852.13193
200504,86749.1599,200504,94439.49428,200504,82389.30273
200503,104065.20308,200503,98923.67621,200503,83184.68973
200502,106666.9134,200502,93256.63986,200502,78935.0384
200501,125287.85857,200501,100862.15018,200501,82241.65015
200412,113956.43153,200412,101980.20633,200412,83466.54896
200411,89649.74085,200411,95752.66477,200411,84190.55194
200410,93466.16898,200410,102325.83477,200410,85345.79182
200409,112337.69377,200409,109595.29408,200409,86018.95583
200408,126423.33984,200408,114452.49394,200408,89440.28164
200407,129305.34718,200407,115495.42265,200407,88479.4439
200406,112335.13296,200406,108122.25804,200406,86732.2516
200405,90598.21162,200405,100879.28578,200405,86988.35388
200404,85376.86512,200404,93531.82545,200404,83369.26145
200403,98947.20745,200403,95330.87993,200403,83327.52686
200402,112464.05547,200402,93677.46255,200402,79667.52545
200401,127121.38323,200401,99281.10271,200401,80823.03868
200312,113083.8514,200312,97869.68409,200312,82287.51865
200311,86658.68148,200311,92604.74302,200311,83163.82929
200310,89780.85959,200310,100036.26335,200310,86981.71286
200309,113848.98343,200309,106472.70316,200309,85681.98834
200308,134467.79929,200308,116224.46136,200308,90536.24056
200307,130673.85672,200307,115232.9169,200307,87732.30375
200306,101285.79246,200306,102407.24564,200306,86209.83273
200305,87804.37208,200305,95818.83157,200305,84619.16494
200304,83448.24421,200304,89684.69152,200304,83057.62224
200303,99561.31168,200303,92579.67309,200303,81758.33458
200302,110937.36996,200302,91238.91884,200302,79516.56963
200301,124272.7877,200301,98557.46847,200301,80828.12943
200212,109266.37941,200212,89053.64535,200212,79455.90389
200211,88822.30318,200211,86095.43524,200211,79705.57975
200210,94531.34312,200210,96312.65137,200210,83984.28641
200209,115833.03265,200209,100808.79734,200209,84346.26466
200208,134332.46833,200208,105819.30677,200208,88264.59938
200207,133694.80084,200207,105985.52252,200207,88122.97085
200206,107169.9945,200206,95903.30254,200206,84386.74446
200205,87318.53904,200205,88974.19272,200205,84459.89797
200204,85407.60661,200204,83619.00093,200204,80750.45469
200203,95318.66735,200203,83544.91242,200203,80461.22004
200202,96592.93277,200202,80951.19992,200202,78059.42958
200201,116891.8012,200201,87428.63989,200201,78240.27931
200112,96184.05438,200112,85435.92163,200112,78080.75882
200111,80806.69409,200111,83226.30009,200111,79913.67998
200110,85419.58912,200110,89377.68751,200110,83144.74635
200109,105943.19324,200109,96704.45191,200109,82631.49485
200108,129205.36178,200108,105621.93345,200108,86797.43767
200107,120707.42753,200107,102156.27207,200107,83175.56383
200106,99407.29496,200106,95658.29115,200106,85268.86123
200105,81731.15295,200105,87470.74429,200105,86096.5808
200104,82453.7826,200104,81060.53414,200104,82253.07658
200103,92804.58576,200103,84064.24963,200103,83521.51752
200102,99877.67304,200102,81466.85778,200102,82248.23193
200101,127065.78354,200101,90825.27235,200101,83477.36044
